Drug,Count
metoclopromide,12
epi dopa calcium gluconate,1
dopa,110
lasix atenolol nifedipine,1
lisinopril dementia,1
vit b mcg vit d units divalproex,1
sprinkle,1
evista,1
corynebacterium,38
propionibacterium,16
ceftriaxone allergic reaction,2
tobra,65
temazepam,60
albuterol sulfate,541
actuation,350
inhaler,57
chlorhexidine gluconate mouthwash,6
bupivicaine,52
oral pain,80
diltiazem alprazolam escitalopram,1
vancomycin levofloxacin,133
vancomyin,13
thyroxine,35
zyprexa,479
qhs docusate,10
po senna po bid bisacodyl,1
simethicone qid,2
qhs enalapril,3
keflex,351
qhs levothyroxine,28
po bid omperazole,2
po bid ascorbic acid,6
po bid atenolol,14
po tid furosemide,6
epinephrine milrinone,13
potassium chloride meq,20
telmisartan,2
remeron,264
relafen,13
p coronary artery bypass graft x past medical history,34
nesiritide,46
statin hypoxemia,2
diamox,125
steroid psychosis hematuria,1
vitamin c buproprion,1
cholestyramine,70
folate lasix,3
oxide,54
megace,85
s qid seroquel,1
thiamine warfarin,1
qhs seroquel,21
quanititate,1
showd,9
itraconazole,27
ig,28
thymoglobulin,6
rituximab,74
ris,31
neurontin allopurinol synthroid lipitor protonix aspirin plavix,1
citalopram hydrobromide,23
calcium citrate,29
po bid nifedipine,8
folate iron,14
integrilin,73
aspirin clopidogrel atorvastatin metoprolol lasix,1
tacrolimus cellcept,5
atovaquone,187
doxycycline,334
methylprednisolone,301
protamine,101
prednisone atovaquone colchicine,1
colchicine,533
vitamin d u daily percocet tab po q h prn prilosec mg,1
dulcolax,208
arimidex atenolol,1
meloxican,1
lipitor ambien,1
cephalosporins coag staph,1
esbl,271
vit b folate,71
meropenum,117
vit b,38
prozac,199
oxybutynin,98
p coronary artery bypass,5
esmolol,209
pitocin,27
methimazole,94
misoprostol,17
hepatitis b cad cva recent admission for,2
keppra oxycarbazepine,1
oxcarbazepine,73
constipation camphor menthol lotion sig one appl topical,1
levofloxacin flagyl,53
bili,41
alpha streptococcus or lactobacillus sp stool cx negative blood cx,1
carbapenems,22
methadone dilaudid,4
gabapentin anemia,2
hyoscyamine,22
alprazolam fluoxetine,1
gabapentin methadone hypothyroidism,1
levothyroxine osteoporosis,4
vitamin d calcium htn,1
alprazolam,216
fexofenadine,167
pilocarpine,21
ertapenem,139
soln,307
vitamin b mcg,72
darifenacin,9
zolmitriptan,5
V4573,81
calcium phosphate,42
esophagus,249
furosemide spironolactone,5
folate multivitamins,1
alcoholic,11
clotrimazole cream,26
gabapentin hypothyroidism,1
po qd furosemide,4
vitamin cap po qd senna,1
po bid gabapentin,33
po qid,86
49390,75
metoprolol agitation delirium,1
wheezing aerochamber inhaler,1
"79092"",""820",1
milrinone,478
methotrexate,306
appetite weight loss lightheadedness shortness of breath dyspnea,1
piperacillin tazobactam,460
tobramycin s trimethoprim sulfa r blood culture blood culture,1
tobramycin s trimethoprim sulfa,33
lasix spironolactone,35
fluocinonide ointment appl,1
nystatin triamcinolone ointment appl tp hospital prn,1
valsartan,526
vancomycin osteomyelitis,1
epogen calcitriol folic acid,1
citalopram clonazepam,3
albuterol sulfate neb,1
ipratropium bromide,418
po bid miconazole nitrate powder,2
epoetin,110
72402,52
ppx protonix,5
milrinone levophed,6
pvcs,20
albuterol levaquin,2
diltizem,20
pravastatin,448
po bid dabigatran etexilate,4
po bid colchicine,5
metamucil,28
pnd,78
pravachol qhs omeprazole,1
statin plavix,19
p neoadjuvant chemo,1
losartan,477
pending anaerobic bottle pending inpatient stool clostridium difficile,1
final anaerobic bottle final,41
doxazosin,237
benzonatate,104
lantus insulin,1
ketones,116
glucose ketones,11
sensitivites,32
cipro meropenum gent ceftriaxone,1
epinephrine phenylephrine,5
diovan topamax klonopin,1
zantac,129
p coronary artery bypass graft primary medical,1
cosyntropin,77
plavix lipitor,4
euthyroid,13
alcohol withdrawal seizures,14
abacavir sulfate,9
efavirenz,16
qhs lamivudine,1
qhs tenofovir,1
tobradex,7
zoloft,293
nitazoxanide,10
ginger,16
cholestyramine ursodiol,2
albuterol pulmicort,1
budesonide pulmicort,4
cholestyramine aspartame cholestyramine,3
diskus,165
aspart,65
promethazine,84
tiotropium bromide spiriva,41
handihaler,56
antidepressant,41
qod valsartan,2
oxybutynin chloride,61
aspirin aspirin,11
lorazepam ativan,10
olanzapine zyprexa,15
prochlorperazine maleate,135
glucose lactate,611
cholest,27
ceftazadine,6
ceftazidine,31
lactate fever tachycardia leukocytosis,1
betablocker,19
atenolol atorvastatin clonazepam,1
docusate epogen,1
minoxidil mirtazepine,1
nyquil,6
metoclopramide,247
antithrombocyte globulin prednisone,2
antithymocyte globulin,2
s p antithymoglobulin,1
vecuronium,93
promus,63
aspirin plavix metoprolol,13
valsartan metoprolol hydrochlorothiazide,1
gemfibrozil,166
finasteride,322
qhs valsartan,8
tigecycline,93
amikacin,214
amikacin nitrofurantoin,1
colistin,104
montelukast,103
mycophenolate mofetil,91
qid tacrolimus,2
99799,4
4571,31
lactate trauma,2
multivitamin thiamine,10
alcohol withdrawal symptoms,6
thiamine multivitamins,1
hydrocortisone suppositories transaminitis,1
pentoxyfiline,4
pentoxifylline,52
67333,1
albumin globulin calcium phosphate magnesium,36
zithromax,7
pentamidine,126
gabapentin trazodone simvastatin amlodipine,1
atenolol fluoxetine,1
epogen timolol,1
phosphate magnesium,42
tamiflu,133
qhs divalproex,4
qhs warfarin,27
qhs metoprolol tartrate,9
taht,7
valium haldol,2
cymbalta,199
meloxicam acyclovir,2
meloxicam,35
amitryptyline,28
haldol cardiomyopathy,1
p coronary artery bypass graft in lima to lad svg to d,1
propofol epinephrine,4
sildenafil,172
vitamin tablet sig one tablet po once a,1
p coronary artery bypass graft,6
E92,28
iron tibc ferritin reticulocyte count haptoglobin ldh tbili,1
folate vitamin b echo the left ventricular cavity,1
fatty liver markedly,2
clindamycin s erythromycin,110
levofloxacin s oxacillin s trimethoprim sulfa s respiratory culture from et tube sensitivities mic expressed in mcg,1
piperacillin tazo s tobramycin s s trimethoprim sulfa s s fecal culture fecal culture,1
lovenox bleeding,1
spray bactroban vaseline ointment,1
afrin,9
solids,283
fludrocortisone acetate,13
lactate barium esophagram,2
alpha antitrypsin social history she lives with her sister name ni her name ni,1
disconjugate gaze unable to completely assess eom d t non cooperation,1
morpine,5
barium,594
pureed solids cellulitis,1
metolazone,431
vancomycin meropenem daptomycin,1
vit k deficiency,11
nortriptyline,143
miconazole powder appl,21
albuterol inhaler puff ih q h prn,17
po bid fluoxetine,3
senna,189
po bid trazodone,11
cx mrsa klebsiella zosyn pleural tissue operative cx mrsa klebsiella,1
cocci sputum klebsiella sputum coag staph aureus,1
phenytoin sodium,37
warfarin sodium,30
qhs morphine sulfate,1
levalbuterol,44
ferrous sulfate acute renal failure,1
albuterol sulfate mcg,64
po qdaily lasix,1
qid latanoprost,1
qhs aspirin,68
isordil,72
s p chemo,53
amox clav,4
dipyridamole,43
fluticasone salmeterol diskus,37
escitalopram,77
trazadone trazodone,1
montelukast singulair,22
spironolacton hydrochlorothiaz aldactazide prescribed by other provider mg mg tablet tablet s by mouth,1
ascorbic acid vitamin c,17
vitamin e,34
7906,45
sestamibi,42
calcitonin cinacalcet,1
cinacalcet,174
carbamazpine,1
raloxifene,13
po bid carbamazepine,2
sitagliptin,39
metformin glucophage,45
amio,259
metoprolol metoprolol,6
levothyroxine hypoxemia,1
enoxaparin lovenox,6
paf,100
cefipime vancomycin flagyl,2
vancomycin cefepime metronidazole metronidazole,1
"E8809"",""801",2
protonix folic acid vitamin c b,1
flagyl levofloxacin,7
persantine persantine,1
methimazole tapazole,1
venodyne,73
diazepam valium,3
ezetimibe,105
cough isosorbide mononitrate,2
salmeterol,66
chol zolpidem,1
calcium carbonate caltrate,4
multivitamins minerals lutein,8
silver,67
fatty acids fish oil,18
V140,22
lisinopril proscar,1
lipitor,211
allopurinol folate,1
calcitrol,15
lasix gabapentin,1
folic acid cinacalet,1
labetolol,379
lantus qam humalog ss protonix,1
valproate,84
levofloxacin metronidazole,23
alcaligenes achromobacter,1
remeron pneumonia,1
triiodothyronine thyroxine,1
divalproex,86
qhs ranitidine,20
loperamide,242
ipratropium albuterol,103
megestrol acetate,10
po bid risperidone,8
hydrocodone acetaminophen,91
aspirin betablocker,1
droperidol,5
alcohol withdrawal and given lack of initial info he was given mg of iv,1
alcohol gastritis,2
alcohol gastropathy,1
carboplatin paclitaxel,11
carboplatin paclitaxol,1
albuterol atrovent mdis,5
dex,28
bzds,8
psyllium powder oral teaspoonful po tid,1
4538,23
amitriptyline trazadone,1
suppositories,15
qhs trazadone,16
terbinafine,8
vitamin c,153
caclium,3
fenofibrate hydrochlorothiazide klonopin,1
arimidex,34
atropine azithromycin,1
ampicillin daptomycin,1
tobramycin s trimethoprim sulfa r urine culture final enterococcus sp organisms ml sensitivities mic expressed in,1
lasix glyburide,2
lubripristone fenofexadine verapamil,1
levothyroxine schizophrenia,2
clozaril,27
perphenazine,27
atrovent,119
lubiprostone,4
fexofenadine verapamil perphenazine clozaril,1
simvistatin,31
phenytoin valproate,4
azithromycin levofloxacin,4
lovastatin htn,1
metoprolol enalpril amlodipine,1
enalapril maleate,61
lovastatin,165
sertraline zoloft,7
appetite changes sob n v or abdominal pain,1
gabapentin hydromorphone,1
tizanidine,101
lidoderm,184
folic acid decadron,1
eptifibatide,16
breakfast senna,1
simvastatin qhs sodium bicarb,1
sorbitol,3
30390,38
glucose lactate na k cl am freeca brief hospitalhospital course pt was admitted,1
qhs cipro,5
doxorubicin,28
cisplatin,142
betamethasone dipropionate cream,4
saxagliptin,3
tenofovir disoproxil fumarate,24
cough syrup,5
plavix htn nifedipine,1
olmesartan,38
simvastatin s p thyroid thyroidectomy,1
brimonidine,95
clopidogrel plavix,66
hydrocortisone cream,34
latanoprost xalatan,18
triamterene hydrochlorothiazid dyazide,1
ammonium pot sodium,1
carbamide peroxide famotidine pepcid,1
lipitor plavix,3
ferrous,8
zinc,171
brimonidine tartrate,23
cycl,1
paroxetine,228
nipride,66
zocor lisinopril,2
viagra,48
p bilat cataract,3
vancomycin lactate,2
guaifensin,6
fluroquinolone,5
aspirin statin,68
mirtazipine citalopram,1
qod citralopam,1
lidoocaine,1
megestrol,48
cefipime,89
flouroquinolone,3
alcoholic beverage,6
caspofungin,161
lactulose respiratory failure,1
folic acid smoking,1
course vanc cipro hypernatremia,1
precedex,81
interferon treatment ifn,1
ifn,21
levothyroxine bleeding,1
danazol,35
qod vit c mg tablet tablet s by mouth,1
vit b vit,1
lidocaine lidoderm,16
vitamins vitamin b complex otc capsule capsule s by mouth,1
ritalin dexamethasone,1
senna colace and lactulose,1
cefepime vanco,19
lomotil,72
avastin,38
buspirone compazine,1
adriamycin cytoxan,2
clozapine,28
qam,194
pioglitazone,86
"V142"",""198",1
charcoal,173
ativan ambien,1
adenosine,217
ticlodopine,3
prasugrel,32
carvedilol captopril,1
iptratropium,4
ticlid,1
qpm aspirin,8
fenofibrate,77
gallium,12
asbestos,62
lisinopril calcium vitamin d effexor,1
herceptin crohns disease pe dvt,1
tenesumus,1
asacol,91
glucose tibc vit b folate,1
luminal,237
plavix aspirin metoprolol,4
valsartan hypertension,1
metoprolol valsartan,8
trental,16
pravachol,73
losartan hydrochlorothiazide,4
fatty acids vitamin e,4
donepezil aricept,2
synephrine,103
metformin glipizide,13
pending anaerobic bottle pending brief hospitalhospital,2
cspy,4
prazosin,35
prasozin,1
glyburide qam iso mono,1
glucose na,15
calcium phosphate magnesium cholest,28
vit b am,1
permethrin cream,3
imodium,110
plaquenil,83
qhs oxycodone,38
caltrate,68
phenylephrine epinephrine,9
anthracycline,13
idarubacin,2
cefipime vancomycin caspofungin,1
oxygen desaturation,24
doripenem,42
tobramycin amkacin,1
proteus klebsiella,1
albuterol tylenol,1
po tid tylenol,6
miconazole,69
"V15"",285",1
hydralazine metoprolol,6
pancuronium,6
sah s p coiling l mca aneurysm,1
ibuprofen tylenol,3
amphetamines,72
31401,30
tylenol pseudogout,1
prandial,26
amoxicillin cough,1
dobutamine,359
qam qpm,6
ropinirole,58
53784,3
ecmo,61
aymmetric,1
atropine dopamine,4
glucose na k pm hgb calchct pm freeca pm type art po pco,2
lasix nitroglycerin,3
metformin hcl,9
41081,2
aspirin plavix metoprolol lipitor,2
esomeprazole,49
po bid lorazepam,16
oxazepam,59
maalox,62
36274,4
navelbine,44
pm blood lactate,56
flagyl levofloxacin linezolid,1
amyloid,39
linezolid,205
levofloxacin infectious disease,1
estraderm,2
nimodipine,52
V88,76
theophylline fluticasone ipratropium albuterol,1
metoprolol depression anxiety,1
paroxetine abilify ativan,1
uptitrating paroxetine,1
metoprolol tartate,18
vit d ativan,1
loratidine,35
qhs bactrim,12
adnexa,63
pureed consistency barium,5
levodopa,51
gabapentin neurontin,16
921,17
meropenem s piperacillin s piperacillin tazo s tobramycin s trimethoprim sulfa s am sputum source endotracheal final,1
piperacillin tazo s rifampin s tetracycline,10
tobramycin s trimethoprim sulfa s vancomycin s pm sputum site endotracheal source endotracheal final,1
tobramycin s trimethoprim sulfa s vancomycin,16
lepirudin,15
levophed levophed,3
penicillins cephalosporins carbacephem carbapenems,2
aspirin metoprolol lisinopril,1
nitrates,114
gabapentin oxycodone oxybutinin,1
benzo polypharmacy infection,1
oxybutinin,30
lyrica,119
po qid insomnia,1
qid ipratropium albuterol,1
qid loratadine,1
qhs clonazepam,21
esbl klebsiella,31
rosc,44
atorvastatin anemia,3
qhs dulcolax,5
qod citalopram,2
qod nitrobid ointment inch prn for sbp dbp flovent inh puffs hospital maalox,1
anusol,16
levofloxain,5
po solids,1
lactulose carafate,1
humalog,183
po qday vicodin,1
latanoprost,136
qhs simvastatin,48
qpm bisacodyl,2
5735,5
idarubicin,24
daptomycin meropenem,15
voriconazole micafungin,1
albuterol ipratroprium,12
po bid celexa,8
99654,1
tarceva,36
bronchoal,1
excruciating laft sided rib,1
seroquel trazadone,5
qhs potassium chloride,4
po bid albuterol,20
hydromorphone dilaudid,13
metronidazole flagyl,30
po tid levofloxacin,2
qhs docusate sodium,9
qod zolpidem,1
bicarbonate calcium gluconate,1
